instrument,timeframe,family,variant,params,bh_sharpe,bh_max_dd,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,gross_R_total,net_R_total,risk_med,risk_med_bps,win_rate,gross_win_rate,n_targets,n_stops,n_time,n_obs,n_ruin_days,equity_final,trades_per_day,bars_per_day,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017
NAS100,M1,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",1.2072173790053602,0.16562549731079687,28458,8749,PASS,4247,4502,0.9893408135343829,0.45631335033441317,-12.884353944386005,-1.114336241009907,3.099632728400617,1.0,-0.006776604487585666,0.5364215956012308,-0.5431982000888166,-59.28851266188699,-4752.441052577056,3.5782857142849025,7.922399382795562,0.3279231912218539,0.3478111784203909,2590,5494,665,1030,0,1.0711936721114403e-22,8.494174757281554,430.53300970873784,4569,4180,0.4109191636706409,0.5123942622289287,-13.18579709507561,-12.791964363194367,-287.4948135222645,,5,0,-287.4948135222645,-1784.439451901742,-773.8275620028039,-762.1438020823532,-1144.5354230678922
NAS100,M1,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",1.2072173790053602,0.16562549731079687,59925,24922,PASS,12397,12525,1.0153876189200488,0.29596190728626065,-20.35946444984708,-1.4614692390079413,4.506250016494909,1.0,0.008559917982070526,0.7372709291744995,-0.7287110111924289,213.33027594916166,-18160.935820937713,2.6613482142852263,5.910506701004182,0.3521787978492898,0.41999036995425726,8780,13555,2587,1030,1,-5.474557081451287e-95,24.19611650485437,430.53300970873784,13197,11725,0.25336590742458265,0.35219879521981057,-20.431603222829917,-21.742435252167425,-1214.6135892012724,,5,0,-1214.6135892012724,-6685.297769956031,-3059.0570968152347,-2768.9495348609385,-4433.017830104238
NAS100,M1,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",1.2072173790053602,0.16562549731079687,8621,6885,PASS,3879,3006,1.0206489031279953,0.4487154979355215,-11.344863331672327,-1.0767047944942372,2.816606855977124,1.0,0.01223361213756683,0.5339957152208714,-0.5217621030833045,84.22841956714763,-3592.3320797285514,3.612071428571653,8.027177409269086,0.33609295570079883,0.37719680464778504,1788,3980,1117,1030,0,3.33552132630799e-17,6.684466019417476,430.53300970873784,3722,3163,0.409218374210611,0.5006837001664705,-11.81028276574101,-11.024031551139313,-241.23273045021182,,5,0,-241.23273045021182,-1406.4035592059051,-539.6663620918889,-606.5659496458142,-798.4634783347316
NAS100,M1,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",1.2072173790053602,0.16562549731079687,5286,4657,PASS,2566,2091,1.006289823105358,0.48742157037369993,-9.139188436262218,-1.197774236219961,3.439207481739789,0.9999999999607726,0.003933578914128656,0.4941284617131534,-0.49019488279902473,18.31867700309715,-2282.837569195058,3.7862142857143226,8.420510399865137,0.3321881039295684,0.353875885763367,1365,2864,428,1030,0,4.121484041963661e-11,4.521359223300971,430.53300970873784,2445,2212,0.4560602447263903,0.5245503298042106,-9.199196415956052,-9.319377552517654,-132.4236051486857,,5,0,-132.4236051486857,-830.0981241560796,-350.7307198221955,-378.5432162895588,-591.0419037785385
NAS100,M1,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",1.2072173790053602,0.16562549731079687,10251,8641,PASS,4623,4018,1.0080608167851748,0.4184844611199166,-12.354214161296253,-1.2931400647727027,3.8797822019596078,1.0,0.005539585295342195,0.7077523172129999,-0.7022127319176578,47.867556537051904,-6067.8202165004805,2.6914821428572395,5.997933431121,0.2673301701191992,0.2981136442541373,1668,5872,1101,1030,0,1.7794646962518386e-29,8.389320388349514,430.53300970873784,4645,3996,0.3829901797142467,0.4651794245050258,-12.61104706790036,-12.414471843594239,-333.6859997233661,,5,0,-333.6859997233661,-2332.5393438449846,-991.5624478786208,-1008.4175240386365,-1401.6149010148722
US30,M1,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",1.0465962332553551,0.1449352537315384,40107,16719,PASS,9353,7366,0.9870602913754852,0.4667171688811184,-16.30838249210648,-0.5876425332341783,1.2338278266420661,1.0,-0.006891712999537854,0.42586074637830634,-0.4327524593778442,-115.22254963927338,-7235.188368338177,10.19575000000259,5.575265112213657,0.34960224893833364,0.402117351516239,3146,8363,5210,1082,0,1.9556862183129872e-34,15.451940850277264,432.10998151571164,8690,8029,0.5072536703478138,0.42605606943473734,-15.026476799228849,-17.945472219110638,-329.81153976668,,5,0,-329.81153976668,-1632.05715155817,-1385.8700517016944,-1553.4166867397112,-2334.032938571921
US30,M1,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",1.0465962332553551,0.1449352537315384,40107,13928,PASS,7699,6229,0.9895957314795849,0.4995485959056266,-15.281565927660363,-0.4301980423712813,0.7105550700332088,1.0,-0.005663415389312089,0.3854731632189579,-0.39113657860827,-78.88004954233878,-5447.750266855985,11.354285714285652,6.206758696809491,0.3890723721998851,0.41865307294658244,4529,7318,2081,1082,0,9.925945553170848e-26,12.872458410351202,432.10998151571164,7317,6611,0.5376245181790865,0.4597723406002128,-13.79327639278021,-17.119690569082852,-273.0156346863484,,5,0,-273.0156346863484,-1257.2430453766367,-1041.3400663007476,-1197.47904352437,-1678.6724769678822
US30,M1,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",1.0465962332553551,0.1449352537315384,60146,13687,PASS,7408,6279,0.9910811324252208,0.5807146462329714,-11.76341462488195,-0.19653075998608116,0.8866435977294902,1.0,-0.005302050521030614,0.3436421717176943,-0.34894422223872495,-72.569165481346,-4775.999569781428,12.342749999999796,6.811241147527825,0.32264192299262073,0.3566157667860013,1630,7804,4253,1082,0,7.23872074561824e-23,12.649722735674677,432.10998151571164,7263,6424,0.6220027862346884,0.5365555934024924,-10.745488579368182,-12.942215206907127,-236.4393151660191,,5,0,-236.4393151660191,-1113.3474116234588,-875.3932103235315,-1005.8991482066242,-1544.9204844617946
US30,M1,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",1.0465962332553551,0.1449352537315384,36664,23524,PASS,11876,11648,0.9658729382305634,0.4159071817666542,-19.613740087285453,-1.6167197365733477,8.351281661087864,1.0,-0.020705946745897236,0.552641122215422,-0.5733470689613193,-487.0866912504866,-13487.416450246074,7.717446428570838,4.237588976351751,0.3216714844414215,0.3607379697330386,6094,13867,3563,1082,0,1.3655871751172163e-67,21.741219963031423,432.10998151571164,12338,11186,0.47481270368690764,0.35839624981969564,-19.440202175631587,-20.853254834810926,-623.2476140602406,,5,0,-623.2476140602406,-2823.9972334368144,-2543.7252585213205,-3108.088983695049,-4388.357360532648
US30,M1,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",1.0465962332553551,0.1449352537315384,21733,13527,PASS,6874,6653,0.9732141160720635,0.46863392415397775,-16.241154779720357,-0.6443800339981137,1.9357818970243268,1.0,-0.017143572541070896,0.5054346480165535,-0.5225782205576244,-231.901105763066,-7068.915589482985,8.340928571429686,4.569978091954825,0.326384268500037,0.34486582390774007,3984,8552,991,1082,0,1.2844767600159896e-33,12.50184842883549,432.10998151571164,7114,6413,0.5322231379718084,0.4065410520057104,-14.869935469991756,-18.211528991410713,-285.3133148713767,,5,0,-285.3133148713767,-1550.0329206891072,-1239.0941512107304,-1609.5242088204996,-2384.9509938912706
US30,M1,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",1.0465962332553551,0.1449352537315384,36664,22058,PASS,11161,10897,0.971012661717787,0.45764088968589156,-18.45436335775792,-1.1444945125104637,4.799071201581482,1.0,-0.015087667083959932,0.4036264003335307,-0.41871406741749057,-332.8037605379882,-9235.994899095007,10.480151785714042,5.7157144894031555,0.3698431408105903,0.421570405295131,6513,10806,4739,1082,0,2.567587569957994e-44,20.386321626617374,432.10998151571164,11580,10478,0.5126385627386669,0.4026325422294127,-17.67151042825322,-19.922439299769618,-451.6014758640972,,5,0,-451.6014758640972,-2017.0821785268363,-1681.43058008945,-2071.9373326884393,-3013.9433319261852
US30,M1,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",1.0465962332553551,0.1449352537315384,15999,11772,PASS,5581,6191,1.0247811877593025,0.3258587962258772,-15.792384493664528,-1.8290381632244572,7.004374315173472,1.0,0.014006038871118008,0.6959955891619003,-0.6819895502907823,164.8790895908012,-8028.3809860230895,6.933098214283746,3.8059451239130566,0.3604315324498811,0.418280665987088,4305,6560,907,1082,0,1.039930904166906e-38,10.87985212569316,432.10998151571164,6566,5206,0.3499927285691973,0.2968323138313156,-16.14829499703534,-15.521666851435977,-724.9909180300036,,5,0,-724.9909180300036,-2038.2366581973743,-1463.4718469998165,-1621.0931259185058,-2180.588436877389
US30,M1,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",1.0465962332553551,0.1449352537315384,8811,6802,PASS,3168,3634,0.9704007668934495,0.17928298733229248,-13.505278360544754,-3.3980416405294913,25.248189768490654,1.0,-0.013772687076851912,0.7971617087020592,-0.810934395778911,-93.6818174967467,-5515.975760088153,6.572124999998778,3.6678840168674154,0.3459276683328433,0.497794766245222,2890,3024,888,1082,0,1.645459415205705e-26,6.2865064695009245,432.10998151571164,3846,2956,0.2036436647397333,0.1488598262675204,-14.208802800451334,-13.308867690285016,-578.7562027123238,,5,0,-578.7562027123238,-1530.2176490923055,-863.2959620062206,-1092.6637494893725,-1451.0421967879304
US30,M1,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",1.0465962332553551,0.1449352537315384,45730,19321,PASS,8972,10349,1.0217161369591299,0.4511427743108603,-16.80450321692108,-1.2529471609812421,4.569437819465685,1.0,0.011177113835850797,0.4397393672423719,-0.4285622534065211,215.95301642247324,-8280.251298067395,10.20389285714191,5.6134110908115105,0.3839345789555406,0.440298121215258,5798,9516,4007,1082,0,1.0177770301531595e-39,17.85674676524954,432.10998151571164,10389,8932,0.4883137998559302,0.4103897979755338,-16.565527638877672,-17.22004908702251,-536.215937219161,,5,0,-536.215937219161,-1977.5508550451577,-1523.3928207855963,-1790.5750233428118,-2452.516661674667
US30,M1,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",1.0465962332553551,0.1449352537315384,45066,14148,PASS,6971,7177,0.9836219554479375,0.5271061547768335,-13.169475805822405,-0.8841754191282788,2.4636255784181604,1.0,-0.010104356728844,0.41239534114560333,-0.42249969787444736,-142.9564389996849,-5977.525725527681,10.122071428571871,5.512138370322435,0.33594854396381113,0.35807181227028556,3856,8549,1743,1082,0,1.1489125158134557e-28,13.075785582255083,432.10998151571164,7448,6700,0.5698069553150945,0.4835638672233976,-12.795204882002242,-13.788749569154628,-339.93175674788716,,5,0,-339.93175674788716,-1406.9880698658833,-998.4959145127076,-1208.3853057984727,-2023.7246786027308
US30,M1,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",1.0465962332553551,0.1449352537315384,31262,9769,PASS,4793,4976,0.9772288591124706,0.5485244590346097,-11.556437874969584,-0.681930364949903,1.6168567953638955,1.0,-0.014690568307130256,0.39695475236660754,-0.41164532067373777,-143.51216179235547,-4021.3631376617445,10.229000000002998,5.561928392668759,0.32940935612652267,0.3422049339748183,2928,6241,600,1082,0,3.325767062821e-19,9.028650646950092,432.10998151571164,5079,4690,0.5844958566801826,0.5123299373847426,-10.570253875425085,-12.695626806793703,-196.00977905293175,,5,0,-196.00977905293175,-973.7013692579808,-686.4903435669675,-824.5190993472785,-1340.642546436586
US30,M1,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",1.0465962332553551,0.1449352537315384,64500,27207,PASS,13513,13694,1.0010621962151218,0.4046347532703657,-19.871132124109582,-1.2817977526364597,3.7018835039730065,1.0,0.0005987405563733896,0.535140303186231,-0.5345415626298575,16.28993431725081,-14543.272294470535,7.743589285713824,4.226154395292301,0.3734333076046606,0.4139375895909141,9664,15025,2518,1082,0,6.951432379730332e-73,25.14510166358595,432.10998151571164,14215,12992,0.4533599114407737,0.3563464883285867,-19.984337678966252,-20.635807937751963,-851.1737789287815,,5,0,-851.1737789287815,-3182.310850348907,-2612.967875395774,-3077.0067831455726,-4819.8130066515
US30,M1,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",1.0465962332553551,0.1449352537315384,9298,7486,PASS,4094,3392,0.9734259505855464,0.535074335500462,-9.878091587756158,-0.8414943346054425,2.35256296561982,0.9999999999999896,-0.016315357704585694,0.39082550823015233,-0.4071408659347381,-122.1367677765285,-3047.8565223874493,10.189464285715076,5.523932144375486,0.33582687683676193,0.3592038471814053,1970,4502,1014,1082,0,1.1151457916592687e-14,6.918669131238447,432.10998151571164,3888,3598,0.5964756857205366,0.47504023122937894,-8.416486734365002,-11.548175961609584,-126.08238074511341,,5,0,-126.08238074511341,-711.8477644293932,-469.8454816768397,-685.8789032439381,-1054.2019922921647
US30,M1,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",1.0465962332553551,0.1449352537315384,5707,5084,PASS,2694,2390,0.9653208086121715,0.5575357609677374,-7.964313143261389,-1.0324648043178206,2.615490228680868,0.999999999405618,-0.02236975721095975,0.37497135812842425,-0.397341115339384,-113.72784566051938,-2020.0822303854281,10.556785714286889,5.790051885646975,0.32985837922895356,0.3430369787568843,1491,3244,349,1082,0,6.253414558677468e-10,4.6987060998151575,432.10998151571164,2603,2481,0.6284255950789779,0.4914270976801114,-6.549944960694355,-9.655514567593526,-28.660964094672256,,5,0,-28.660964094672256,-472.5892104609243,-317.36395334117447,-436.44969083701903,-765.0184116516381
US30,M1,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",1.0465962332553551,0.1449352537315384,11099,9363,PASS,4929,4434,0.9898258510541242,0.5134329485316846,-10.570821669857951,-0.820963604319928,1.70769404493837,1.0,-0.007110038983564256,0.5196739281929417,-0.5267839671765059,-66.57129500311213,-4932.2782846736245,7.599482142857596,4.124042893591,0.26668802734166397,0.2863398483392075,1865,6477,1021,1082,0,6.355431149775309e-24,8.653419593345657,432.10998151571164,4880,4483,0.5689380795916604,0.4593153841235782,-9.265622390087955,-12.066484108019388,-232.26743747541738,,5,0,-232.26743747541738,-1118.3959034533636,-806.4963717307855,-891.4272131364537,-1883.691358877604
